new_name;page;qid;id;layout;filter;group;question_dutch;subquestion_dutch;categories_dutch;question_english;subquestion_english;categories_english;ordered;type;nice_name_english
;39;ExpUnempl_before;ExpUnempl_before2020;table;-;Expected Unemployment Before;We willen graag weten wat u verwachtte dat het werkloosheidscijfer in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. Eerst vragen we wat u vóórdat er sprak was van de uitbraak van het coronavirus verwachtte dat het werkloosheidspercentage zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat het werkloosheidspercentage zal worden voor die jaren. Uw verwachtingen over het werkloosheidspercentage vóórdat er sprake was van de uitbraak van het coronavirus:;2020;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;"We are also interested in your expectations of the rate of unemployment in the Netherlands, and how the impact of the corona virus has affected your expectations. Specifically, we would like to know what you think the unemployment rate would have been without the coronavirus pandemic and what it will likely be now with the pandemic.  The unemployment rate measures how many people out of 100 who would like to work do not have a job. On average, the unemployment rate was around 4% for the years 2017-2019. 

First, we would like to know the unemployment rates you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. 
";2020;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;39;ExpUnempl_before;ExpUnempl_before2021;table;-;Expected Unemployment Before;We willen graag weten wat u verwachtte dat het werkloosheidscijfer in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. Eerst vragen we wat u vóórdat er sprak was van de uitbraak van het coronavirus verwachtte dat het werkloosheidspercentage zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat het werkloosheidspercentage zal worden voor die jaren. Uw verwachtingen over het werkloosheidspercentage vóórdat er sprake was van de uitbraak van het coronavirus:;2021;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;"We are also interested in your expectations of the rate of unemployment in the Netherlands, and how the impact of the corona virus has affected your expectations. Specifically, we would like to know what you think the unemployment rate would have been without the coronavirus pandemic and what it will likely be now with the pandemic.  The unemployment rate measures how many people out of 100 who would like to work do not have a job. On average, the unemployment rate was around 4% for the years 2017-2019. 

First, we would like to know the unemployment rates you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. 
";2021;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;39;ExpUnempl_before;ExpUnempl_before2021;table;-;Expected Unemployment Before;We willen graag weten wat u verwachtte dat het werkloosheidscijfer in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. Eerst vragen we wat u vóórdat er sprak was van de uitbraak van het coronavirus verwachtte dat het werkloosheidspercentage zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat het werkloosheidspercentage zal worden voor die jaren. Uw verwachtingen over het werkloosheidspercentage vóórdat er sprake was van de uitbraak van het coronavirus:;2022;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;"We are also interested in your expectations of the rate of unemployment in the Netherlands, and how the impact of the corona virus has affected your expectations. Specifically, we would like to know what you think the unemployment rate would have been without the coronavirus pandemic and what it will likely be now with the pandemic.  The unemployment rate measures how many people out of 100 who would like to work do not have a job. On average, the unemployment rate was around 4% for the years 2017-2019. 

First, we would like to know the unemployment rates you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. 
";2022;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;40;ExpUnempl_today;ExpUnempl_today2020;table;-;Expected Unemployment Today;"En wat zijn uw verwachtingen over het werkloosheidspercentage onder de
omstandigheden van dit moment:
(Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar.)";2020;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;Second, we would like to know the unemployment rates that you expect for the years 2020, 2021, and 2022 as of today. Expectation as of today / with the coronavirus pandemic:;2020;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;40;ExpUnempl_today;ExpUnempl_today2021;table;-;Expected Unemployment Today;"En wat zijn uw verwachtingen over het werkloosheidspercentage onder de
omstandigheden van dit moment:
(Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar.)";2021;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;Second, we would like to know the unemployment rates that you expect for the years 2020, 2021, and 2022 as of today. Expectation as of today / with the coronavirus pandemic:;2021;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;40;ExpUnempl_today;ExpUnempl_today2022;table;-;Expected Unemployment Today;"En wat zijn uw verwachtingen over het werkloosheidspercentage onder de
omstandigheden van dit moment:
(Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar.)";2022;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;Second, we would like to know the unemployment rates that you expect for the years 2020, 2021, and 2022 as of today. Expectation as of today / with the coronavirus pandemic:;2022;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;41;ExpEcGrowth_before;ExpEcGr_before2020;table;-;Expected Economic Growth Before;"We willen graag weten wat u verwachtte dat de groei van de economie in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De economische groei, dat wil zeggen, de verandering van de hoeveelheid goederen en diensten die Nederland kan gebruiken, was in de periode 2017-2019 ongeveer 2,5% per jaar.

Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de economische groei zou worden in 2020, 2021 en 2022.

Daarna vragen we u wat u nu verwacht dat de economische groei zal worden voor die jaren.

Uw verwachtingen over de economische groei vóórdat er sprake was van de uitbraak van het coronavirus:";2020;minder dan -4%, -4% tot -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%,  4% of hoger;"We are interested in your expectations of the future development of the Dutch economy as measured by the real growth rates of gross domestic product (that is, net of inflation), and how the impact of the corona virus has affected your expectations. On average, the Dutch economy has grown by around 2.5% in the years 2017-2019. 

First, we would like to know the growth rates of the Dutch economy you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. 
";2020;less than -4%, -4% to -2%, -2% to 0%, 0% to 2%, 2% to 4%, 4% or higher;TRUE;Categorical;
;41;ExpEcGrowth_before;ExpEcGr_before2021;table;-;Expected Economic Growth Before;"We willen graag weten wat u verwachtte dat de groei van de economie in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De economische groei, dat wil zeggen, de verandering van de hoeveelheid goederen en diensten die Nederland kan gebruiken, was in de periode 2017-2019 ongeveer 2,5% per jaar.

Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de economische groei zou worden in 2020, 2021 en 2022.

Daarna vragen we u wat u nu verwacht dat de economische groei zal worden voor die jaren.

Uw verwachtingen over de economische groei vóórdat er sprake was van de uitbraak van het coronavirus:";2021;minder dan -4%, -4% tot -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%,  4% of hoger;"We are interested in your expectations of the future development of the Dutch economy as measured by the real growth rates of gross domestic product (that is, net of inflation), and how the impact of the corona virus has affected your expectations. On average, the Dutch economy has grown by around 2.5% in the years 2017-2019. 

First, we would like to know the growth rates of the Dutch economy you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. 
";2021;less than -4%, -4% to -2%, -2% to 0%, 0% to 2%, 2% to 4%, 4% or higher;TRUE;Categorical;
;41;ExpEcGrowth_before;ExpEcGr_before2022;table;-;Expected Economic Growth Before;"We willen graag weten wat u verwachtte dat de groei van de economie in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De economische groei, dat wil zeggen, de verandering van de hoeveelheid goederen en diensten die Nederland kan gebruiken, was in de periode 2017-2019 ongeveer 2,5% per jaar.

Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de economische groei zou worden in 2020, 2021 en 2022.

Daarna vragen we u wat u nu verwacht dat de economische groei zal worden voor die jaren.

Uw verwachtingen over de economische groei vóórdat er sprake was van de uitbraak van het coronavirus:";2022;minder dan -4%, -4% tot -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%,  4% of hoger;"We are interested in your expectations of the future development of the Dutch economy as measured by the real growth rates of gross domestic product (that is, net of inflation), and how the impact of the corona virus has affected your expectations. On average, the Dutch economy has grown by around 2.5% in the years 2017-2019. 

First, we would like to know the growth rates of the Dutch economy you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. 
";2022;less than -4%, -4% to -2%, -2% to 0%, 0% to 2%, 2% to 4%, 4% or higher;TRUE;Categorical;
;42;ExpEcGrowth_today;ExpEcGrowth_today;table;-;Expected Economic Growth Today;"En wat zijn uw verwachtingen over de economische groei onder de
omstandigheden van dit moment: (De economische groei was in de periode 2017-2019 ongeveer 2,5% per jaar.)
Let op, de antwoorden zijn veranderd.";2020;minder dan -10%, -10% tot -5%,  -5% tot 0%, 0% tot 5%, 5% tot 10%,  10% of hoger;Second, we would like to know the growth rates of the Dutch economy that you expect for the years 2020, 2021, and 2022 as of today. Careful: The categories have changed!;2020;less than -10%, -10% to -5%, -5% to 0%, 0% to 5%, 5% to 10%, 10% or higher;TRUE;Categorical;
;42;ExpEcGrowth_today;ExpEcGrowth_today;table;-;Expected Economic Growth Today;"En wat zijn uw verwachtingen over de economische groei onder de
omstandigheden van dit moment: (De economische groei was in de periode 2017-2019 ongeveer 2,5% per jaar.)
Let op, de antwoorden zijn veranderd.";2021;minder dan -10%, -10% tot -5%,  -5% tot 0%, 0% tot 5%, 5% tot 10%,  10% of hoger;Second, we would like to know the growth rates of the Dutch economy that you expect for the years 2020, 2021, and 2022 as of today. Careful: The categories have changed!;2021;less than -10%, -10% to -5%, -5% to 0%, 0% to 5%, 5% to 10%, 10% or higher;TRUE;Categorical;
;42;ExpEcGrowth_today;ExpEcGrowth_today;table;-;Expected Economic Growth Today;"En wat zijn uw verwachtingen over de economische groei onder de
omstandigheden van dit moment: (De economische groei was in de periode 2017-2019 ongeveer 2,5% per jaar.)
Let op, de antwoorden zijn veranderd.";2022;minder dan -10%, -10% tot -5%,  -5% tot 0%, 0% tot 5%, 5% tot 10%,  10% of hoger;Second, we would like to know the growth rates of the Dutch economy that you expect for the years 2020, 2021, and 2022 as of today. Careful: The categories have changed!;2022;less than -10%, -10% to -5%, -5% to 0%, 0% to 5%, 5% to 10%, 10% or higher;TRUE;Categorical;
;43;ExpInfl_before;ExpInfl_before2020;table;-;Expected Inflation Before;We willen graag weten wat u verwachtte dat de prijsverandering (verandering van de cosumptieprijzen, inflatie) in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar. Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de inflatie zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat de inflatie zal worden voor die jaren. Uw verwachtingen over de inflatie (een negatief percentage betekent dat prijzen dalen) vóórdat er sprake was van de uitbraak van het coronavirus:;2020;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;"We are interested in your expectations of the inflation rate in the Netherlands (as measured by changes of the Consumer Price Index), and how the impact of the corona virus has affected your expectations. On average, consumer prices have grown by around 1.8% in the years 2017-2019. 

First, we would like to know the inflation rate that you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. ";2020;less than -2%, -2% to 0%, 0% to 2%, 2% to 4%, 4% to 6%, 6% or higher;TRUE;Categorical;
;43;ExpInfl_before;ExpInfl_before2021;table;-;Expected Inflation Before;We willen graag weten wat u verwachtte dat de prijsverandering (verandering van de cosumptieprijzen, inflatie) in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar. Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de inflatie zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat de inflatie zal worden voor die jaren. Uw verwachtingen over de inflatie (een negatief percentage betekent dat prijzen dalen) vóórdat er sprake was van de uitbraak van het coronavirus:;2021;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;"We are interested in your expectations of the inflation rate in the Netherlands (as measured by changes of the Consumer Price Index), and how the impact of the corona virus has affected your expectations. On average, consumer prices have grown by around 1.8% in the years 2017-2019. 

First, we would like to know the inflation rate that you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. ";2021;less than -2%, -2% to 0%, 0% to 2%, 2% to 4%, 4% to 6%, 6% or higher;TRUE;Categorical;
;43;ExpInfl_before;ExpInfl_before2022;table;-;Expected Inflation Before;We willen graag weten wat u verwachtte dat de prijsverandering (verandering van de cosumptieprijzen, inflatie) in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar. Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de inflatie zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat de inflatie zal worden voor die jaren. Uw verwachtingen over de inflatie (een negatief percentage betekent dat prijzen dalen) vóórdat er sprake was van de uitbraak van het coronavirus:;2022;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;"We are interested in your expectations of the inflation rate in the Netherlands (as measured by changes of the Consumer Price Index), and how the impact of the corona virus has affected your expectations. On average, consumer prices have grown by around 1.8% in the years 2017-2019. 

First, we would like to know the inflation rate that you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. ";2022;less than -2%, -2% to 0%, 0% to 2%, 2% to 4%, 4% to 6%, 6% or higher;TRUE;Categorical;
;44;ExpInfl_today;ExpInfl_today2020;table;-;Expected Inflation Today;"En wat zijn uw verwachtingen over de inflatie (een negatief percentage betekent
dat prijzen dalen) onder de omstandigheden van dit moment:
(De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar.)";2020;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;Second, we would like to know the inflation rate that you expect for the years 2020, 2021, and 2022 as of today.;2020;less than -2%, -2% to 0%, 0% to 2%, 2% to 4%, 4% to 6%, 6% or higher;TRUE;Categorical;
;44;ExpInfl_today;ExpInfl_today2021;table;-;Expected Inflation Today;"En wat zijn uw verwachtingen over de inflatie (een negatief percentage betekent
dat prijzen dalen) onder de omstandigheden van dit moment:
(De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar.)";2021;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;Second, we would like to know the inflation rate that you expect for the years 2020, 2021, and 2022 as of today.;2021;less than -2%, -2% to 0%, 0% to 2%, 2% to 4%, 4% to 6%, 6% or higher;TRUE;Categorical;
;44;ExpInfl_today;ExpInfl_today2022;table;-;Expected Inflation Today;"En wat zijn uw verwachtingen over de inflatie (een negatief percentage betekent
dat prijzen dalen) onder de omstandigheden van dit moment:
(De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar.)";2022;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;Second, we would like to know the inflation rate that you expect for the years 2020, 2021, and 2022 as of today.;2022;less than -2%, -2% to 0%, 0% to 2%, 2% to 4%, 4% to 6%, 6% or higher;TRUE;Categorical;
;45.1;StockTrading;;multi;-;Stock Trading;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de afgelopen maanden. Kiest u het antwoord dat het beste bij uw situatie past. Sinds half februari… ;heb ik helemaal geen risicovolle bezittingen zoals aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz.;;We are interested in how you invested your savings in recent months. Please pick the option that applies to your situation. In the period since mid-February .. ;I did not own risky assets such as stocks / mutual funds / corporate bonds at any point.;;TRUE;bool;
;45.2;StockTrading;;multi;-;Stock Trading;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de afgelopen maanden. Kiest u het antwoord dat het beste bij uw situatie past. Sinds half februari… ;heb ik risicovolle bezittingen zoals aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz., maar heb ik geen aankoop of verkoop gedaan.;;We are interested in how you invested your savings in recent months. Please pick the option that applies to your situation. In the period since mid-February .. ;I have owned risky assets such as stocks / mutual funds / corporate bonds and I have not bought or sold anything.;;TRUE;bool;
;45.3;StockTrading;;multi;-;Stock Trading;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de afgelopen maanden. Kiest u het antwoord dat het beste bij uw situatie past. Sinds half februari… ;heb ik risicovolle bezittingen zoals aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. gekocht, maar heb ik niets verkocht.;;We are interested in how you invested your savings in recent months. Please pick the option that applies to your situation. In the period since mid-February .. ;I have bought risky assets such as stocks / mutual funds / corporate bonds, but I did not sell any.;;TRUE;bool;
;45.4;StockTrading;;multi;-;Stock Trading;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de afgelopen maanden. Kiest u het antwoord dat het beste bij uw situatie past. Sinds half februari… ;heb ik risicovolle bezittingen zoals aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. verkocht, maar heb ik niets gekocht.;;We are interested in how you invested your savings in recent months. Please pick the option that applies to your situation. In the period since mid-February .. ;I have sold risky assets such as stocks / mutual funds / corporate bonds, but I did not buy any.;;TRUE;bool;
;45.5;StockTrading;;multi;-;Stock Trading;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de afgelopen maanden. Kiest u het antwoord dat het beste bij uw situatie past. Sinds half februari… ;heb ik risicovolle bezittingen zoals aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. gekocht en verkocht.;;We are interested in how you invested your savings in recent months. Please pick the option that applies to your situation. In the period since mid-February .. ;I have both bought and sold risky assets such as stocks / mutual funds / corporate bonds.;;TRUE;bool;
;46;Stock3;;cat;StockTrading;Amount Bought Among Buyers;In vergelijking met een normale periode van twee maanden in de afgelopen jaren, hebt u dan minder of meer uitgegeven aan aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz.?;;veel minder, minder, ongeveer hetzelfde, meer, veel meer;Compared to a typical two months-period of in recent years, how much did you spend on risky assets such as stocks / mutual funds / corporate bonds?;;Much less, less, about the same, more, much more;TRUE;Categorical;
;47;Stock4;;cat;StockTrading;Amount Sold Among Sellers;In vergelijking met een normale periode van twee maanden in de afgelopen jaren, hebt u dan minder of meer van uw aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. verkocht?;;veel minder, minder, ongeveer hetzelfde, meer, veel meer;Compared to a typical two months-period of in recent years, which amount of risky assets such as stocks / mutual funds / corporate bonds did you sell?;;Much less, less, about the same, more, much more;TRUE;Categorical;
;48;Stock5;;cat;StockTrading;Amount Bought Among Those Who Bought And Sold;In vergelijking met een normale periode van twee maanden in de afgelopen jaren, hebt u dan minder of meer van uw aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. gekocht?;;veel minder, minder, ongeveer hetzelfde, meer, veel meer;Compared to a typical two months-period of in recent years, how much did you spend on risky assets such as stocks / mutual funds / corporate bonds?;;Much less, less, about the same, more, much more;TRUE;Categorical;
;49;Stock6;;cat;StockTrading;Amount Sold Among Those Who Bought And Sold;In vergelijking met een normale periode van twee maanden in de afgelopen jaren, hebt u dan minder of meer van uw aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. verkocht?;;veel minder, minder, ongeveer hetzelfde, meer, veel meer;Compared to a typical two months-period of in recent years, which amount of risky assets such as stocks / mutual funds / corporate bonds did you sell?;;Much less, less, about the same, more, much more;TRUE;Categorical;
;50.1;q31;q31a;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik me heel erg ga vervelen;Helemaal niet bezorgd, , , ,Heel erg bezorgd;When you think about the next four weeks, how concerned are you about the following?;That I get very bored;1 = Not concerned at all, 2 , 3 ,4  , 5 = Very Concerned;TRUE;Categorical;
;50.2;q31;q31b;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik besmet word met het coronavirus en heel erg ziek word of dood ga;Helemaal niet bezorgd, , , ,Heel erg bezorgd;When you think about the next four weeks, how concerned are you about the following?;That I become infected with the coronavirus and become very ill or die;1 = Not concerned at all, 2 , 3 ,4  , 5 = Very Concerned;TRUE;Categorical;
;50.3;q31;q31c;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik besmet word met het coronavirus en anderen besmet;Helemaal niet bezorgd, , , ,Heel erg bezorgd;When you think about the next four weeks, how concerned are you about the following?;That I get infected with the coronavirus and infect others;1 = Not concerned at all, 2 , 3 ,4  , 5 = Very Concerned;TRUE;Categorical;
;50.4;q31;q31d;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat dierbaren besmet worden met het coronavirus en heel ziek worden of dood gaan;Helemaal niet bezorgd, , , ,Heel erg bezorgd;When you think about the next four weeks, how concerned are you about the following?;That loved ones become infected with the coronavirus and become very ill or die;1 = Not concerned at all, 2 , 3 ,4  , 5 = Very Concerned;TRUE;Categorical;
;50.5;q31;q31e;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik mijn baan zal verliezen ;Helemaal niet bezorgd, , , ,Heel erg bezorgd;When you think about the next four weeks, how concerned are you about the following?;That I will lose my job;1 = Not concerned at all, 2 , 3 ,4  , 5 = Very Concerned;TRUE;Categorical;
;50.6;q31;q31f;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik niet in staat ben voldoende eten te kopen;Helemaal niet bezorgd, , , ,Heel erg bezorgd;When you think about the next four weeks, how concerned are you about the following?;That I am unable to buy enough food;1 = Not concerned at all, 2 , 3 ,4  , 5 = Very Concerned;TRUE;Categorical;
;50.7;q31;q31g;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik geen goede gezondheidszorg zal krijgen;Helemaal niet bezorgd, , , ,Heel erg bezorgd;When you think about the next four weeks, how concerned are you about the following?;That I will not get good health care;1 = Not concerned at all, 2 , 3 ,4  , 5 = Very Concerned;TRUE;Categorical;
;50.8;q31;q31h;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat mijn favoriete restaurant/café failliet gaat;Helemaal niet bezorgd, , , ,Heel erg bezorgd;When you think about the next four weeks, how concerned are you about the following?;That my favorite restaurant / cafe is going bankrupt;1 = Not concerned at all, 2 , 3 ,4  , 5 = Very Concerned;TRUE;Categorical;
;51.1;eva2h;eva2t1;table;-;Liked Questionnaire;NB: Maakt u alstublieft de vragenlijst af totdat u weer bij het beginscherm komt. Pas dan registreert het systeem de vragenlijst als volledig ingevuld. Tot slot. Wat vond u van deze vragenlijst:;Vond u het moeilijk om de vragen te beantwoorden?;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";Note: Please complete the questionnaire until you are returned to the home screen. Only then will the system register the questionnaire as completed. Finally. What did you think of this questionnaire?;Did you find it difficult to answer the questions?;"1 = definitely not, 2, 3, 4, 5 = certainly yes
";TRUE;Categorical;
;51.2;eva2h;eva2t2;table;-;Liked Questionnaire;NB: Maakt u alstublieft de vragenlijst af totdat u weer bij het beginscherm komt. Pas dan registreert het systeem de vragenlijst als volledig ingevuld. Tot slot. Wat vond u van deze vragenlijst:;Vond u de vragen duidelijk?;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";Note: Please complete the questionnaire until you are returned to the home screen. Only then will the system register the questionnaire as completed. Finally. What did you think of this questionnaire?;Were the questions clear to you?;"1 = definitely not, 2, 3, 4, 5 = certainly yes
";TRUE;Categorical;
;51.3;eva2h;eva2t3;table;-;Liked Questionnaire;NB: Maakt u alstublieft de vragenlijst af totdat u weer bij het beginscherm komt. Pas dan registreert het systeem de vragenlijst als volledig ingevuld. Tot slot. Wat vond u van deze vragenlijst:;Heeft de vragenlijst u aan het denken gezet?;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";Note: Please complete the questionnaire until you are returned to the home screen. Only then will the system register the questionnaire as completed. Finally. What did you think of this questionnaire?;Did the questionnaire get you thinking?;"1 = definitely not, 2, 3, 4, 5 = certainly yes
";TRUE;Categorical;
;51.4;eva2h;eva2t4;table;-;Liked Questionnaire;NB: Maakt u alstublieft de vragenlijst af totdat u weer bij het beginscherm komt. Pas dan registreert het systeem de vragenlijst als volledig ingevuld. Tot slot. Wat vond u van deze vragenlijst:;Vond u het onderwerp interessant?;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";Note: Please complete the questionnaire until you are returned to the home screen. Only then will the system register the questionnaire as completed. Finally. What did you think of this questionnaire?;Did you find the subject interesting?;"1 = definitely not, 2, 3, 4, 5 = certainly yes
";TRUE;Categorical;
;51.5;eva2h;eva2t5;table;-;Liked Questionnaire;NB: Maakt u alstublieft de vragenlijst af totdat u weer bij het beginscherm komt. Pas dan registreert het systeem de vragenlijst als volledig ingevuld. Tot slot. Wat vond u van deze vragenlijst:;Vond u het plezierig om de vragen in te vullen?;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";Note: Please complete the questionnaire until you are returned to the home screen. Only then will the system register the questionnaire as completed. Finally. What did you think of this questionnaire?;Did you enjoy answering the questions?;"1 = definitely not, 2, 3, 4, 5 = certainly yes
";TRUE;Categorical;
;52;opm;;cat;-;Comments on Questionnaire;Hebt u nog opmerkingen over de vragenlijst?;;Ja, Nee;Do you have any comments about the questionnaire?;;"Yes, No
";TRUE;Categorical;
